run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:49:47,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,0,1,10,0.934459,0.036927,0.0,4,100,96,0.934459,0,5.965,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:50:07,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,1,2,10,3.469068,0.579689,0.0,18,100,82,3.469068,0,20.017,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:50:12,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,2,3,10,3.650609,2.009318,2.926907,66,100,34,3.650609,0,5.289,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:50:17,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,3,4,10,3.611493,2.496159,3.361431,85,100,15,3.650609,1,4.515,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:50:21,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,4,5,10,3.799484,2.490121,3.373371,82,100,18,3.799484,0,4.362,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:50:26,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,5,6,10,17.47843,3.712761,3.374311,92,100,8,17.47843,0,5.041,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:50:33,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,6,7,10,6.736963,2.17891,2.599669,83,100,17,17.47843,1,6.179,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:50:40,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,7,8,10,6.858271,2.46293,3.362291,87,100,13,17.47843,2,7.699,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:50:48,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,8,9,10,6.585819,2.900179,3.397469,94,100,6,17.47843,3,8.025,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:51:00,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,9,10,10,10.268643,3.199995,3.393019,94,100,6,17.47843,4,11.304,20.0,azarashi.npz,userbrain.npz
20260709_114941_688027_AIbrain_linear_DefaultRace_azarashi,2026-07-09T11:51:08,AIbrain_linear,DefaultSettings\DefaultRace.csv,start,10,11,10,10.197686,3.639207,3.678909,86,100,14,17.47843,5,8.35,20.0,azarashi.npz,userbrain.npz
