run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:29:00,hiyori_brain,students\maps\small_donut.csv,start,0,1,20,5575.735379,1090.881757,742.868947,95,100,5,5575.735379,0,5.733,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:29:07,hiyori_brain,students\maps\small_donut.csv,start,1,2,20,5829.442825,1933.552179,2174.09894,91,100,9,5829.442825,0,7.048,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:29:15,hiyori_brain,students\maps\small_donut.csv,start,2,3,20,9543.844573,2926.474922,2398.563538,97,100,3,9543.844573,0,8.133,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:29:35,hiyori_brain,students\maps\small_donut.csv,start,3,4,20,34109.678762,4378.05809,4825.149754,94,100,6,34109.678762,0,20.002,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:29:55,hiyori_brain,students\maps\small_donut.csv,start,4,5,20,38854.720494,5982.366486,5518.33274,92,100,8,38854.720494,0,20.021,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:30:15,hiyori_brain,students\maps\small_donut.csv,start,5,6,20,37725.372165,6392.506567,5497.636241,88,100,12,38854.720494,1,20.018,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:30:35,hiyori_brain,students\maps\small_donut.csv,start,6,7,20,44851.506938,7862.189041,6012.99123,79,100,21,44851.506938,0,20.008,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:30:55,hiyori_brain,students\maps\small_donut.csv,start,7,8,20,51214.848798,10866.874747,6018.298114,64,100,36,51214.848798,0,20.001,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:31:16,hiyori_brain,students\maps\small_donut.csv,start,8,9,20,50655.073853,16215.081604,9287.7742,54,100,46,51214.848798,1,20.024,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:31:36,hiyori_brain,students\maps\small_donut.csv,start,9,10,20,51435.716334,19731.751866,12932.617987,44,100,56,51435.716334,0,20.005,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:31:56,hiyori_brain,students\maps\small_donut.csv,start,10,11,20,51559.252292,28509.249323,36193.827862,39,100,61,51559.252292,0,20.059,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:32:16,hiyori_brain,students\maps\small_donut.csv,start,11,12,20,51069.594828,22991.591551,22744.983437,53,100,47,51559.252292,1,20.055,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:32:36,hiyori_brain,students\maps\small_donut.csv,start,12,13,20,51352.030563,26947.960214,33685.666469,46,100,54,51559.252292,2,20.039,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:32:56,hiyori_brain,students\maps\small_donut.csv,start,13,14,20,51599.265802,22990.977877,16341.528577,43,100,57,51599.265802,0,20.031,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:33:16,hiyori_brain,students\maps\small_donut.csv,start,14,15,20,52226.979731,25414.193285,26253.561889,45,100,55,52226.979731,0,20.049,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:33:36,hiyori_brain,students\maps\small_donut.csv,start,15,16,20,52558.940249,26354.883893,29089.600675,52,100,48,52558.940249,0,20.003,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:33:56,hiyori_brain,students\maps\small_donut.csv,start,16,17,20,54446.464301,26987.700327,35530.034474,35,100,65,54446.464301,0,20.021,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:34:16,hiyori_brain,students\maps\small_donut.csv,start,17,18,20,54845.424644,28418.723569,35682.965789,38,100,62,54845.424644,0,20.014,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:34:36,hiyori_brain,students\maps\small_donut.csv,start,18,19,20,55037.066586,26944.568356,32558.076464,43,100,57,55037.066586,0,20.036,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:34:56,hiyori_brain,students\maps\small_donut.csv,start,19,20,20,56747.861233,27837.302218,32314.463569,45,100,55,56747.861233,0,20.007,20.0,azarashi.npz,userbrain.npz
20260712_212855_009501_hiyori_brain_small_donut_azarashi,2026-07-12T21:35:16,hiyori_brain,students\maps\small_donut.csv,start,20,21,20,55257.12904,30224.448357,38076.835677,46,100,54,56747.861233,1,20.035,20.0,azarashi.npz,userbrain.npz
