run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:02:17,hiyori_brain,students\maps\small_donut.csv,start,0,1,20,5661.232167,1071.123806,754.464605,87,100,13,5661.232167,0,5.46,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:02:24,hiyori_brain,students\maps\small_donut.csv,start,1,2,20,9929.837285,2511.253785,2444.929095,98,100,2,9929.837285,0,6.687,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:02:31,hiyori_brain,students\maps\small_donut.csv,start,2,3,20,11647.423234,4189.083507,5267.380574,99,100,1,11647.423234,0,7.207,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:02:40,hiyori_brain,students\maps\small_donut.csv,start,3,4,20,9983.424256,5205.028028,5680.609258,95,100,5,11647.423234,1,8.759,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:02:47,hiyori_brain,students\maps\small_donut.csv,start,4,5,20,11536.295124,5676.970259,5823.026604,97,100,3,11647.423234,2,7.805,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:02:55,hiyori_brain,students\maps\small_donut.csv,start,5,6,20,11467.063269,3168.784076,1437.276161,97,100,3,11647.423234,3,7.656,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:03:03,hiyori_brain,students\maps\small_donut.csv,start,6,7,20,11460.035409,5142.133683,5493.471776,100,100,0,11647.423234,4,7.664,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:03:10,hiyori_brain,students\maps\small_donut.csv,start,7,8,20,11446.848645,6053.889971,5740.009778,100,100,0,11647.423234,5,7.529,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:03:17,hiyori_brain,students\maps\small_donut.csv,start,8,9,20,11391.764944,4343.152378,2152.592517,100,100,0,11647.423234,6,6.695,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:03:24,hiyori_brain,students\maps\small_donut.csv,start,9,10,20,11412.414759,7078.216621,6998.471163,100,100,0,11647.423234,7,7.488,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:03:25,hiyori_brain,students\maps\small_donut.csv,start,10,11,20,0.7235,0.7235,0.7235,0,100,100,11647.423234,8,0.022,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:03:32,hiyori_brain,students\maps\small_donut.csv,start,11,12,20,9869.509456,3603.981797,1703.030167,97,100,3,11647.423234,9,7.084,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:03:41,hiyori_brain,students\maps\small_donut.csv,start,12,13,20,11367.969561,5618.408983,5834.843605,100,100,0,11647.423234,10,9.317,10.0,hiyori.npz,userbrain.npz
20260712_220212_016414_hiyori_brain_small_donut_hiyori,2026-07-12T22:03:48,hiyori_brain,students\maps\small_donut.csv,start,13,14,20,9820.695392,5250.474608,5723.652028,100,100,0,11647.423234,11,6.69,10.0,hiyori.npz,userbrain.npz
