run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:18:53,hiyori_brain,students\maps\small_donut.csv,load,0,1,50,9900.666411,5986.59674,5770.579358,100,100,0,9900.666411,0,10.008,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:19:03,hiyori_brain,students\maps\small_donut.csv,load,1,2,50,9722.482119,5986.955609,5863.458291,100,100,0,9900.666411,1,10.01,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:19:13,hiyori_brain,students\maps\small_donut.csv,load,2,3,50,11529.115121,5323.975852,5855.285057,100,100,0,11529.115121,0,10.022,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:19:23,hiyori_brain,students\maps\small_donut.csv,load,3,4,50,9537.706485,3473.152072,2976.971134,100,100,0,11529.115121,1,10.002,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:19:33,hiyori_brain,students\maps\small_donut.csv,load,4,5,50,9424.791637,3866.458595,3037.157311,100,100,0,11529.115121,2,10.006,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:19:44,hiyori_brain,students\maps\small_donut.csv,load,5,6,50,9643.205216,1806.035407,666.698634,100,100,0,11529.115121,3,10.028,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:19:54,hiyori_brain,students\maps\small_donut.csv,load,6,7,50,9645.806324,3620.059901,2745.496464,100,100,0,11529.115121,4,10.015,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:20:04,hiyori_brain,students\maps\small_donut.csv,load,7,8,50,9636.469896,4972.445033,5234.734436,100,100,0,11529.115121,5,10.017,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:20:14,hiyori_brain,students\maps\small_donut.csv,load,8,9,50,9626.411406,4200.951039,3055.143128,100,100,0,11529.115121,6,10.009,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:20:24,hiyori_brain,students\maps\small_donut.csv,load,9,10,50,10083.384253,5585.178251,6227.946787,100,100,0,11529.115121,7,10.027,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:20:34,hiyori_brain,students\maps\small_donut.csv,load,10,11,50,8050.613261,984.74075,417.5451,100,100,0,11529.115121,8,10.019,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:20:44,hiyori_brain,students\maps\small_donut.csv,load,11,12,50,9473.555135,6088.398736,5933.876589,100,100,0,11529.115121,9,10.013,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:20:54,hiyori_brain,students\maps\small_donut.csv,load,12,13,50,9653.136994,3259.20324,2815.798645,100,100,0,11529.115121,10,10.016,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:21:04,hiyori_brain,students\maps\small_donut.csv,load,13,14,50,9914.118692,5167.168017,4687.292302,100,100,0,11529.115121,11,10.03,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:21:14,hiyori_brain,students\maps\small_donut.csv,load,14,15,50,9734.659661,3236.578802,2743.625189,100,100,0,11529.115121,12,10.028,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:21:24,hiyori_brain,students\maps\small_donut.csv,load,15,16,50,11517.169832,3326.192529,1749.061633,100,100,0,11529.115121,13,10.022,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:21:34,hiyori_brain,students\maps\small_donut.csv,load,16,17,50,9826.377844,3527.712079,2988.434825,100,100,0,11529.115121,14,10.013,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:21:44,hiyori_brain,students\maps\small_donut.csv,load,17,18,50,9565.150474,6231.185859,5835.279315,100,100,0,11529.115121,15,10.016,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:21:54,hiyori_brain,students\maps\small_donut.csv,load,18,19,50,9903.321655,4738.587735,2925.261226,100,100,0,11529.115121,16,10.023,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:22:04,hiyori_brain,students\maps\small_donut.csv,load,19,20,50,9732.064952,3737.671885,2735.468851,100,100,0,11529.115121,17,10.022,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:22:14,hiyori_brain,students\maps\small_donut.csv,load,20,21,50,11401.959009,2664.389281,539.4974,100,100,0,11529.115121,18,10.014,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:22:24,hiyori_brain,students\maps\small_donut.csv,load,21,22,50,10232.24693,4412.734655,5184.816246,100,100,0,11529.115121,19,10.017,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:22:34,hiyori_brain,students\maps\small_donut.csv,load,22,23,50,10020.565124,4593.953524,2834.381847,100,100,0,11529.115121,20,10.029,10.0,hiyori4.npz,hiyori3.npz
20260712_221844_059991_hiyori_brain_small_donut_hiyori4,2026-07-12T22:22:44,hiyori_brain,students\maps\small_donut.csv,load,23,24,50,9721.111751,3568.211163,2772.49828,100,100,0,11529.115121,21,10.005,10.0,hiyori4.npz,hiyori3.npz
