run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:37:16,hiyori_brain,students\maps\small_donut.csv,load,0,1,20,11466.985688,6661.692268,6019.210503,98,100,2,11466.985688,0,10.018,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:37:26,hiyori_brain,students\maps\small_donut.csv,load,1,2,20,11340.281174,5865.824959,5844.092759,100,100,0,11466.985688,1,10.018,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:37:36,hiyori_brain,students\maps\small_donut.csv,load,2,3,20,9986.409223,6681.377116,5887.881798,100,100,0,11466.985688,2,10.014,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:37:46,hiyori_brain,students\maps\small_donut.csv,load,3,4,20,11488.71953,5260.901138,5355.794572,100,100,0,11488.71953,0,10.02,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:37:56,hiyori_brain,students\maps\small_donut.csv,load,4,5,20,9801.050919,7338.190556,9149.272472,100,100,0,11488.71953,1,10.015,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:38:06,hiyori_brain,students\maps\small_donut.csv,load,5,6,20,9057.091146,2460.300391,2380.373318,100,100,0,11488.71953,2,10.02,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:38:16,hiyori_brain,students\maps\small_donut.csv,load,6,7,20,10044.454545,5887.287817,5822.665258,99,100,1,11488.71953,3,10.012,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:38:26,hiyori_brain,students\maps\small_donut.csv,load,7,8,20,10313.084055,6994.417329,8316.613646,100,100,0,11488.71953,4,10.019,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:38:36,hiyori_brain,students\maps\small_donut.csv,load,8,9,20,10289.760636,7262.73464,9151.625204,100,100,0,11488.71953,5,10.016,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:38:46,hiyori_brain,students\maps\small_donut.csv,load,9,10,20,9952.858473,6834.828352,6081.512986,100,100,0,11488.71953,6,10.02,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:38:56,hiyori_brain,students\maps\small_donut.csv,load,10,11,20,9607.348506,4138.526575,1883.74968,100,100,0,11488.71953,7,10.023,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:39:06,hiyori_brain,students\maps\small_donut.csv,load,11,12,20,10052.046088,6025.405785,5750.212443,100,100,0,11488.71953,8,10.021,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:39:16,hiyori_brain,students\maps\small_donut.csv,load,12,13,20,10278.833482,5897.685522,5748.423956,100,100,0,11488.71953,9,10.018,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:39:26,hiyori_brain,students\maps\small_donut.csv,load,13,14,20,10911.553779,8003.371999,9265.561967,100,100,0,11488.71953,10,10.011,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:39:36,hiyori_brain,students\maps\small_donut.csv,load,14,15,20,10022.223331,6892.949122,8073.122429,100,100,0,11488.71953,11,10.006,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:39:46,hiyori_brain,students\maps\small_donut.csv,load,15,16,20,11642.36984,7273.038663,8187.964902,100,100,0,11642.36984,0,10.019,10.0,gyuu.npz,gyuu.npz
20260712_223706_614806_hiyori_brain_small_donut_gyuu,2026-07-12T22:39:56,hiyori_brain,students\maps\small_donut.csv,load,16,17,20,11501.111417,7193.698567,8343.320112,100,100,0,11642.36984,1,10.016,10.0,gyuu.npz,gyuu.npz
