run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:10:42,hiyori_brain,students\maps\small_dent.csv,load,0,1,20,-49671.444932,-63186.140971,-65799.022876,100,100,0,-49671.444932,0,12.965,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:10:48,hiyori_brain,students\maps\small_dent.csv,load,1,2,20,-50677.889525,-65276.4553,-64325.32697,100,100,0,-49671.444932,1,5.134,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:10:55,hiyori_brain,students\maps\small_dent.csv,load,2,3,20,-51840.8823,-65283.496881,-66331.195057,100,100,0,-49671.444932,2,7.955,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:11:05,hiyori_brain,students\maps\small_dent.csv,load,3,4,20,-50502.7191,-71700.601931,-67944.553621,100,100,0,-49671.444932,3,9.87,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:11:12,hiyori_brain,students\maps\small_dent.csv,load,4,5,20,-47885.796958,-64907.318004,-67258.738596,100,100,0,-47885.796958,0,6.46,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:11:19,hiyori_brain,students\maps\small_dent.csv,load,5,6,20,-61666.010403,-92917.166994,-93672.385404,100,100,0,-47885.796958,1,7.125,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:11:24,hiyori_brain,students\maps\small_dent.csv,load,6,7,20,-48657.369931,-71049.211798,-68109.934049,100,100,0,-47885.796958,2,5.044,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:11:31,hiyori_brain,students\maps\small_dent.csv,load,7,8,20,-52107.286003,-70021.074285,-68113.307003,99,100,1,-47885.796958,3,7.177,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:11:39,hiyori_brain,students\maps\small_dent.csv,load,8,9,20,-52504.054199,-67485.982943,-67412.573154,100,100,0,-47885.796958,4,7.78,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:11:46,hiyori_brain,students\maps\small_dent.csv,load,9,10,20,-49112.21643,-66730.310743,-65652.052542,100,100,0,-47885.796958,5,7.037,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:12:01,hiyori_brain,students\maps\small_dent.csv,load,10,11,20,-23454.760789,-77747.794404,-70663.696472,100,100,0,-23454.760789,0,15.006,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:12:10,hiyori_brain,students\maps\small_dent.csv,load,11,12,20,-50951.418847,-63256.705545,-62241.788793,97,100,3,-23454.760789,1,8.908,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:12:19,hiyori_brain,students\maps\small_dent.csv,load,12,13,20,-48080.302633,-64631.456806,-61957.666173,86,100,14,-23454.760789,2,9.251,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:12:32,hiyori_brain,students\maps\small_dent.csv,load,13,14,20,-20494.207639,-68468.327802,-62953.516604,85,100,15,-20494.207639,0,12.861,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:12:46,hiyori_brain,students\maps\small_dent.csv,load,14,15,20,-20224.667864,-66073.49302,-67015.856265,89,100,11,-20224.667864,0,13.602,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:12:58,hiyori_brain,students\maps\small_dent.csv,load,15,16,20,-62588.434148,-95093.599067,-95153.519397,80,100,20,-20224.667864,1,12.661,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:13:12,hiyori_brain,students\maps\small_dent.csv,load,16,17,20,-23530.805915,-69342.638145,-66735.371195,67,100,33,-20224.667864,2,14.248,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:13:27,hiyori_brain,students\maps\small_dent.csv,load,17,18,20,-18766.130669,-64473.502867,-53288.708458,80,100,20,-18766.130669,0,14.823,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:13:36,hiyori_brain,students\maps\small_dent.csv,load,18,19,20,-18562.401845,-69126.42715,-65687.724179,73,100,27,-18562.401845,0,9.106,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:13:44,hiyori_brain,students\maps\small_dent.csv,load,19,20,20,-20789.217485,-66566.962956,-65501.146784,72,100,28,-18562.401845,1,7.447,15.0,neru1.npz,neru1.npz
20260713_021030_029616_hiyori_brain_small_dent_neru1,2026-07-13T02:13:52,hiyori_brain,students\maps\small_dent.csv,load,20,21,20,-92716.718315,-94592.471348,-94033.321966,89,100,11,-18562.401845,2,8.449,15.0,neru1.npz,neru1.npz
