run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:12,hiyori_brain,students\maps\small_dent.csv,start,0,1,20,-61221.76264,-92200.31039,-93828.57308,90,100,10,-61221.76264,0,4.118,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:16,hiyori_brain,students\maps\small_dent.csv,start,1,2,20,-65156.34403,-87791.68938,-85985.387173,96,100,4,-61221.76264,1,3.632,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:21,hiyori_brain,students\maps\small_dent.csv,start,2,3,20,-53349.061021,-79953.994499,-82511.691278,100,100,0,-53349.061021,0,4.836,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:25,hiyori_brain,students\maps\small_dent.csv,start,3,4,20,-53445.611962,-81262.807948,-82291.805127,100,100,0,-53349.061021,1,4.95,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:31,hiyori_brain,students\maps\small_dent.csv,start,4,5,20,-52936.232467,-77186.196203,-80454.774037,100,100,0,-52936.232467,0,5.712,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:36,hiyori_brain,students\maps\small_dent.csv,start,5,6,20,-84153.172367,-86080.65392,-86008.776303,100,100,0,-52936.232467,1,5.268,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:42,hiyori_brain,students\maps\small_dent.csv,start,6,7,20,-53125.805206,-80824.491018,-83996.19036,100,100,0,-52936.232467,2,5.543,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:47,hiyori_brain,students\maps\small_dent.csv,start,7,8,20,-52191.739462,-81271.104629,-88562.467028,100,100,0,-52191.739462,0,4.585,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:34:53,hiyori_brain,students\maps\small_dent.csv,start,8,9,20,-52715.031969,-75950.576632,-77276.601192,100,100,0,-52191.739462,1,6.795,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:35:00,hiyori_brain,students\maps\small_dent.csv,start,9,10,20,-52799.053687,-70371.925325,-67355.376579,100,100,0,-52191.739462,2,6.175,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:35:04,hiyori_brain,students\maps\small_dent.csv,start,10,11,20,-52695.904345,-71994.350723,-66669.809562,100,100,0,-52191.739462,3,4.748,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:35:10,hiyori_brain,students\maps\small_dent.csv,start,11,12,20,-52609.236613,-76673.335078,-78088.755095,100,100,0,-52191.739462,4,5.481,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:35:15,hiyori_brain,students\maps\small_dent.csv,start,12,13,20,-51970.766912,-67853.498638,-67196.321891,100,100,0,-51970.766912,0,5.27,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:35:23,hiyori_brain,students\maps\small_dent.csv,start,13,14,20,-52499.473078,-71586.692848,-66232.120908,100,100,0,-51970.766912,1,7.8,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:35:32,hiyori_brain,students\maps\small_dent.csv,start,14,15,20,-52839.038902,-62718.120385,-53586.636077,100,100,0,-51970.766912,2,9.3,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:35:47,hiyori_brain,students\maps\small_dent.csv,start,15,16,20,-52150.823348,-59127.208562,-53739.840009,100,100,0,-51970.766912,3,15.019,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:36:02,hiyori_brain,students\maps\small_dent.csv,start,16,17,20,-51741.965961,-63807.033585,-53487.462454,100,100,0,-51741.965961,0,15.016,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:36:08,hiyori_brain,students\maps\small_dent.csv,start,17,18,20,-52480.780321,-62328.258406,-53705.224015,100,100,0,-51741.965961,1,6.194,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:36:14,hiyori_brain,students\maps\small_dent.csv,start,18,19,20,-52579.404038,-63578.35749,-53465.857182,100,100,0,-51741.965961,2,5.243,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:36:20,hiyori_brain,students\maps\small_dent.csv,start,19,20,20,-52404.783127,-61708.340823,-53156.231811,100,100,0,-51741.965961,3,6.119,15.0,neruu.npz,userbrain.npz
20260713_023408_446837_hiyori_brain_small_dent_neruu,2026-07-13T02:36:27,hiyori_brain,students\maps\small_dent.csv,start,20,21,20,-52431.153485,-60844.648788,-54014.880367,100,100,0,-51741.965961,4,6.917,15.0,neruu.npz,userbrain.npz
