run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:49:57,hiyori_brain,students\maps\small_donut.csv,load,0,1,20,14596.101954,-47234.149612,-42032.019119,100,100,0,14596.101954,0,6.742,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:50:05,hiyori_brain,students\maps\small_donut.csv,load,1,2,20,15859.279098,-40232.696764,-39561.23714,100,100,0,15859.279098,0,7.26,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:50:12,hiyori_brain,students\maps\small_donut.csv,load,2,3,20,-2681.612027,-44900.542079,-43642.301719,100,100,0,15859.279098,1,7.034,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:50:21,hiyori_brain,students\maps\small_donut.csv,load,3,4,20,15457.034309,-44379.51708,-42288.698119,100,100,0,15859.279098,2,9.168,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:50:27,hiyori_brain,students\maps\small_donut.csv,load,4,5,20,1976.518641,-42385.398305,-41529.186964,100,100,0,15859.279098,3,5.998,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:50:34,hiyori_brain,students\maps\small_donut.csv,load,5,6,20,321.627664,-38124.72583,-40430.440637,100,100,0,15859.279098,4,7.049,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:50:39,hiyori_brain,students\maps\small_donut.csv,load,6,7,20,1972.210855,-41048.484456,-41989.468397,100,100,0,15859.279098,5,5.572,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:50:47,hiyori_brain,students\maps\small_donut.csv,load,7,8,20,15200.413524,-38340.488265,-40088.314552,100,100,0,15859.279098,6,7.982,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:50:57,hiyori_brain,students\maps\small_donut.csv,load,8,9,20,14894.622529,-38404.151962,-39525.653548,100,100,0,15859.279098,7,9.592,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:51:04,hiyori_brain,students\maps\small_donut.csv,load,9,10,20,-1676.29883,-41911.710172,-41070.243676,100,100,0,15859.279098,8,7.011,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:51:12,hiyori_brain,students\maps\small_donut.csv,load,10,11,20,14435.385462,-49641.170303,-45192.511642,100,100,0,15859.279098,9,7.769,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:51:18,hiyori_brain,students\maps\small_donut.csv,load,11,12,20,2423.846422,-44127.337189,-43638.95665,100,100,0,15859.279098,10,5.963,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:51:26,hiyori_brain,students\maps\small_donut.csv,load,12,13,20,1882.232737,-37507.051381,-39455.591154,100,100,0,15859.279098,11,7.839,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:51:34,hiyori_brain,students\maps\small_donut.csv,load,13,14,20,15174.676832,-45650.143167,-43470.747437,100,100,0,15859.279098,12,8.866,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:51:43,hiyori_brain,students\maps\small_donut.csv,load,14,15,20,16044.213167,-45464.923901,-43417.950441,100,100,0,16044.213167,0,8.518,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:51:51,hiyori_brain,students\maps\small_donut.csv,load,15,16,20,1384.32985,-38893.435021,-41687.406226,100,100,0,16044.213167,1,7.729,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:52:01,hiyori_brain,students\maps\small_donut.csv,load,16,17,20,14757.823142,-40863.401612,-40832.297326,100,100,0,16044.213167,2,10.019,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:52:11,hiyori_brain,students\maps\small_donut.csv,load,17,18,20,16643.591947,-46029.904511,-43564.674601,100,100,0,16643.591947,0,10.017,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:52:17,hiyori_brain,students\maps\small_donut.csv,load,18,19,20,14532.509902,-47592.10385,-43608.351557,100,100,0,16643.591947,1,6.725,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:52:24,hiyori_brain,students\maps\small_donut.csv,load,19,20,20,14507.762793,-41577.971024,-41256.387732,100,100,0,16643.591947,2,6.074,10.0,run5.npz,run4.npz
20260713_024951_158237_hiyori_brain_small_donut_run5,2026-07-13T02:52:29,hiyori_brain,students\maps\small_donut.csv,load,20,21,20,-2513.607918,-45958.148376,-43989.90215,100,100,0,16643.591947,3,5.686,10.0,run5.npz,run4.npz
