run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:29:14,hiyori_brain,students\maps\01_wide_rectangle.csv,load,0,1,50,-6385.085698,-58227.254257,-62054.434488,100,100,0,-6385.085698,0,20.019,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:29:34,hiyori_brain,students\maps\01_wide_rectangle.csv,load,1,2,50,-5969.84355,-43593.552838,-62342.364041,100,100,0,-5969.84355,0,20.02,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:29:54,hiyori_brain,students\maps\01_wide_rectangle.csv,load,2,3,50,-6652.107483,-52940.733711,-60452.796969,100,100,0,-5969.84355,1,20.009,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:30:14,hiyori_brain,students\maps\01_wide_rectangle.csv,load,3,4,50,-5799.991306,-49388.760677,-72070.475553,100,100,0,-5799.991306,0,20.001,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:30:34,hiyori_brain,students\maps\01_wide_rectangle.csv,load,4,5,50,-3426.749849,-17815.782974,-6565.849336,100,100,0,-3426.749849,0,20.02,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:30:54,hiyori_brain,students\maps\01_wide_rectangle.csv,load,5,6,50,1016583.556222,-43925.940316,-54645.024759,99,100,1,1016583.556222,0,20.004,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:31:01,hiyori_brain,students\maps\01_wide_rectangle.csv,load,6,7,50,-6340.386196,-53617.023212,-60352.402525,100,100,0,1016583.556222,1,7.16,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:31:12,hiyori_brain,students\maps\01_wide_rectangle.csv,load,7,8,50,-5783.763679,-40000.09271,-60229.072783,100,100,0,1016583.556222,2,11.165,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:31:20,hiyori_brain,students\maps\01_wide_rectangle.csv,load,8,9,50,-5555.136818,-46266.449291,-61515.662551,100,100,0,1016583.556222,3,7.735,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:31:31,hiyori_brain,students\maps\01_wide_rectangle.csv,load,9,10,50,-5919.116134,-37814.464373,-37011.641092,100,100,0,1016583.556222,4,10.547,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:31:41,hiyori_brain,students\maps\01_wide_rectangle.csv,load,10,11,50,-5889.451776,-59613.230352,-72407.803147,100,100,0,1016583.556222,5,10.117,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:32:01,hiyori_brain,students\maps\01_wide_rectangle.csv,load,11,12,50,-6071.893522,-52914.968798,-62752.003459,100,100,0,1016583.556222,6,20.019,20.0,run12.npz,run11.npz
20260713_032854_652192_hiyori_brain_01_wide_rectangle_run12,2026-07-13T03:32:21,hiyori_brain,students\maps\01_wide_rectangle.csv,load,12,13,50,-5553.320771,-50149.93922,-63010.275424,100,100,0,1016583.556222,7,20.001,20.0,run12.npz,run11.npz
