run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:38:53,hiyori_brain,students\maps\01_wide_rectangle.csv,load,0,1,50,-2251.007444,-50797.210061,-60738.690654,100,100,0,-2251.007444,0,12.183,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:39:03,hiyori_brain,students\maps\01_wide_rectangle.csv,load,1,2,50,-2686.797615,-34782.60413,-51116.484268,100,100,0,-2251.007444,1,9.483,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:39:11,hiyori_brain,students\maps\01_wide_rectangle.csv,load,2,3,50,-3563.64054,-32605.602741,-30650.160379,100,100,0,-2251.007444,2,8.428,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:39:31,hiyori_brain,students\maps\01_wide_rectangle.csv,load,3,4,50,-3311.456082,-18110.805637,-5063.099479,100,100,0,-2251.007444,3,20.014,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:39:51,hiyori_brain,students\maps\01_wide_rectangle.csv,load,4,5,50,-4443.017003,-53397.024183,-60303.099241,100,100,0,-2251.007444,4,20.02,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:40:11,hiyori_brain,students\maps\01_wide_rectangle.csv,load,5,6,50,-474.257637,-11105.36078,-4324.577649,100,100,0,-474.257637,0,20.009,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:40:31,hiyori_brain,students\maps\01_wide_rectangle.csv,load,6,7,50,-3305.448842,-43050.992898,-44384.049916,100,100,0,-474.257637,1,20.014,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:40:51,hiyori_brain,students\maps\01_wide_rectangle.csv,load,7,8,50,-1793.345623,-53831.068422,-60281.525284,100,100,0,-474.257637,2,20.018,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:41:11,hiyori_brain,students\maps\01_wide_rectangle.csv,load,8,9,50,-879.307656,-39194.176363,-59198.559293,100,100,0,-474.257637,3,20.007,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:41:31,hiyori_brain,students\maps\01_wide_rectangle.csv,load,9,10,50,-1615.012345,-35891.353396,-38496.973976,100,100,0,-474.257637,4,20.027,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:41:51,hiyori_brain,students\maps\01_wide_rectangle.csv,load,10,11,50,-81276.737171,-85976.749713,-86021.851364,100,100,0,-474.257637,5,20.032,20.0,yoshi_2.npz,yoshi.npz
20260713_033841_781176_hiyori_brain_01_wide_rectangle_yoshi_2,2026-07-13T03:42:11,hiyori_brain,students\maps\01_wide_rectangle.csv,load,11,12,50,-3617.81426,-32904.523855,-35642.92694,100,100,0,-474.257637,6,20.011,20.0,yoshi_2.npz,yoshi.npz
