run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:32:36,hiyori_brain,students\maps\02_gentle_dent.csv,load,0,1,100,-15939.644029,-61445.121519,-71570.551459,61,100,39,-15939.644029,0,20.032,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:32:56,hiyori_brain,students\maps\02_gentle_dent.csv,load,1,2,100,-18166.063677,-78260.969399,-99833.359396,33,100,67,-15939.644029,1,20.036,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:33:16,hiyori_brain,students\maps\02_gentle_dent.csv,load,2,3,100,-15225.256258,-51710.363893,-34318.398339,67,100,33,-15225.256258,0,20.008,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:33:36,hiyori_brain,students\maps\02_gentle_dent.csv,load,3,4,100,-14631.969176,-73820.911962,-99885.778019,43,100,57,-14631.969176,0,20.027,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:33:56,hiyori_brain,students\maps\02_gentle_dent.csv,load,4,5,100,-17873.407516,-68952.892594,-93592.302845,47,100,53,-14631.969176,1,20.039,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:34:16,hiyori_brain,students\maps\02_gentle_dent.csv,load,5,6,100,-17132.065224,-45006.28277,-34658.055256,84,100,16,-14631.969176,2,20.023,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:34:36,hiyori_brain,students\maps\02_gentle_dent.csv,load,6,7,100,-17414.386003,-66742.936478,-73198.270104,53,100,47,-14631.969176,3,20.029,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:34:56,hiyori_brain,students\maps\02_gentle_dent.csv,load,7,8,100,-16615.164457,-61381.460085,-61080.637935,59,100,41,-14631.969176,4,20.012,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:35:16,hiyori_brain,students\maps\02_gentle_dent.csv,load,8,9,100,-15423.816777,-67126.185677,-81070.365217,52,100,48,-14631.969176,5,20.005,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:35:36,hiyori_brain,students\maps\02_gentle_dent.csv,load,9,10,100,-17162.976318,-60770.176254,-61776.467514,60,100,40,-14631.969176,6,20.032,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:35:56,hiyori_brain,students\maps\02_gentle_dent.csv,load,10,11,100,-14558.111094,-51886.456669,-35011.739486,75,100,25,-14558.111094,0,20.008,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:36:16,hiyori_brain,students\maps\02_gentle_dent.csv,load,11,12,100,-15306.654108,-76814.650074,-99934.479814,37,100,63,-14558.111094,1,20.02,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:36:36,hiyori_brain,students\maps\02_gentle_dent.csv,load,12,13,100,-16877.513464,-58443.531352,-34932.027737,63,100,37,-14558.111094,2,20.01,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:36:56,hiyori_brain,students\maps\02_gentle_dent.csv,load,13,14,100,-16735.991585,-69310.070686,-99097.089538,48,100,52,-14558.111094,3,20.033,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:37:16,hiyori_brain,students\maps\02_gentle_dent.csv,load,14,15,100,-16608.608536,-68371.780529,-95179.500342,49,100,51,-14558.111094,4,20.024,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:37:36,hiyori_brain,students\maps\02_gentle_dent.csv,load,15,16,100,-11896.460768,-48287.924507,-33299.294382,78,100,22,-11896.460768,0,20.02,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:37:56,hiyori_brain,students\maps\02_gentle_dent.csv,load,16,17,100,-15280.240922,-67365.451026,-99974.623616,46,100,54,-11896.460768,1,20.036,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:38:16,hiyori_brain,students\maps\02_gentle_dent.csv,load,17,18,100,-14402.346947,-62399.941247,-71814.768104,55,100,45,-11896.460768,2,20.046,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:38:36,hiyori_brain,students\maps\02_gentle_dent.csv,load,18,19,100,-13948.990086,-57303.518194,-36159.811381,63,100,37,-11896.460768,3,20.017,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:38:56,hiyori_brain,students\maps\02_gentle_dent.csv,load,19,20,100,-14633.39478,-64203.925044,-77307.536398,53,100,47,-11896.460768,4,20.029,20.0,yoshi5.npz,yoshi4.npz
20260713_043216_196473_hiyori_brain_02_gentle_dent_yoshi5,2026-07-13T04:39:16,hiyori_brain,students\maps\02_gentle_dent.csv,load,20,21,100,-14977.486703,-47644.852538,-33015.595984,73,100,27,-11896.460768,5,20.009,20.0,yoshi5.npz,yoshi4.npz
