run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:29:52,hiyori_brain,DefaultSettings\DefaultRace.csv,load,0,1,100,140787.912113,-36928.686572,-36052.901398,54,100,46,140787.912113,0,20.019,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:30:12,hiyori_brain,DefaultSettings\DefaultRace.csv,load,1,2,100,141924.690796,-27072.766894,-26994.561091,64,100,36,141924.690796,0,20.007,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:30:32,hiyori_brain,DefaultSettings\DefaultRace.csv,load,2,3,100,146899.866345,-29891.334623,-58213.265641,53,100,47,146899.866345,0,20.003,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:30:52,hiyori_brain,DefaultSettings\DefaultRace.csv,load,3,4,100,139601.055094,-37736.871002,-60694.489122,50,100,50,146899.866345,1,20.03,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:31:12,hiyori_brain,DefaultSettings\DefaultRace.csv,load,4,5,100,143310.076381,-27379.032838,-36650.727029,60,100,40,146899.866345,2,20.046,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:31:32,hiyori_brain,DefaultSettings\DefaultRace.csv,load,5,6,100,150131.453817,-29001.123345,-35407.772696,55,100,45,150131.453817,0,20.04,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:31:52,hiyori_brain,DefaultSettings\DefaultRace.csv,load,6,7,100,155199.587579,-28150.716667,-59604.017111,42,100,58,155199.587579,0,20.088,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:32:12,hiyori_brain,DefaultSettings\DefaultRace.csv,load,7,8,100,150252.05222,-31339.673399,-68634.946512,34,100,66,155199.587579,1,20.001,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:32:32,hiyori_brain,DefaultSettings\DefaultRace.csv,load,8,9,100,153324.86278,-27174.215636,-43317.384879,56,100,44,155199.587579,2,20.001,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:32:52,hiyori_brain,DefaultSettings\DefaultRace.csv,load,9,10,100,147237.435147,-33385.451161,-61997.123925,50,100,50,155199.587579,3,20.071,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:33:12,hiyori_brain,DefaultSettings\DefaultRace.csv,load,10,11,100,149808.14195,-33646.172287,-68304.595658,55,100,45,155199.587579,4,20.026,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:33:32,hiyori_brain,DefaultSettings\DefaultRace.csv,load,11,12,100,148829.052695,-26889.254475,-56329.52269,47,100,53,155199.587579,5,20.057,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:33:52,hiyori_brain,DefaultSettings\DefaultRace.csv,load,12,13,100,150667.177549,-53526.288594,-90640.753878,30,100,70,155199.587579,6,20.055,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:34:12,hiyori_brain,DefaultSettings\DefaultRace.csv,load,13,14,100,151839.639144,-42539.702613,-62332.851435,45,100,55,155199.587579,7,20.004,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:34:32,hiyori_brain,DefaultSettings\DefaultRace.csv,load,14,15,100,145400.491521,-22785.020222,-36993.027203,44,100,56,155199.587579,8,20.011,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:34:53,hiyori_brain,DefaultSettings\DefaultRace.csv,load,15,16,100,147704.984468,-34646.469399,-62248.943555,44,100,56,155199.587579,9,20.071,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:35:12,hiyori_brain,DefaultSettings\DefaultRace.csv,load,16,17,100,147292.93211,-20908.842106,-48169.564208,60,100,40,155199.587579,10,20.006,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:35:33,hiyori_brain,DefaultSettings\DefaultRace.csv,load,17,18,100,145249.807095,-34512.835474,-62306.669279,42,100,58,155199.587579,11,20.027,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:35:53,hiyori_brain,DefaultSettings\DefaultRace.csv,load,18,19,100,142714.440194,-34648.056973,-51570.87693,54,100,46,155199.587579,12,20.02,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:36:13,hiyori_brain,DefaultSettings\DefaultRace.csv,load,19,20,100,143690.734507,-40565.688586,-73060.6394,50,100,50,155199.587579,13,20.012,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:36:33,hiyori_brain,DefaultSettings\DefaultRace.csv,load,20,21,100,137417.203845,-22985.743175,-34297.325324,56,100,44,155199.587579,14,20.013,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:36:53,hiyori_brain,DefaultSettings\DefaultRace.csv,load,21,22,100,135398.819987,-36432.427573,-75600.736325,51,100,49,155199.587579,15,20.018,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:37:13,hiyori_brain,DefaultSettings\DefaultRace.csv,load,22,23,100,148688.955798,-10361.573022,-31774.238433,59,100,41,155199.587579,16,20.009,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:37:33,hiyori_brain,DefaultSettings\DefaultRace.csv,load,23,24,100,141496.85771,-7236.714783,-30989.995799,59,100,41,155199.587579,17,20.022,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:37:53,hiyori_brain,DefaultSettings\DefaultRace.csv,load,24,25,100,142580.944126,-17113.641602,-33805.556308,57,100,43,155199.587579,18,20.013,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:38:13,hiyori_brain,DefaultSettings\DefaultRace.csv,load,25,26,100,149476.931447,-16934.004867,-32625.400441,52,100,48,155199.587579,19,20.009,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:38:33,hiyori_brain,DefaultSettings\DefaultRace.csv,load,26,27,100,150533.791443,-21696.073257,-31702.088684,58,100,42,155199.587579,20,20.011,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:38:53,hiyori_brain,DefaultSettings\DefaultRace.csv,load,27,28,100,154371.918125,-16370.142391,-31439.310455,65,100,35,155199.587579,21,20.015,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:39:13,hiyori_brain,DefaultSettings\DefaultRace.csv,load,28,29,100,154567.663804,-5209.571227,-21496.352154,61,100,39,155199.587579,22,20.022,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:39:33,hiyori_brain,DefaultSettings\DefaultRace.csv,load,29,30,100,145295.286958,-14359.779608,-16067.386954,63,100,37,155199.587579,23,20.016,20.0,yoshi6.npz,yoshi5.npz
20260713_052932_600764_hiyori_brain_DefaultRace_yoshi6,2026-07-13T05:39:53,hiyori_brain,DefaultSettings\DefaultRace.csv,load,30,31,100,146492.328157,-5707.732101,-6408.112434,63,100,37,155199.587579,24,20.006,20.0,yoshi6.npz,yoshi5.npz
