run_id,timestamp,agent_name,map_name,mode,generation,completed_generations,generations_total,best_score,avg_score,median_score,crashed_count,cars_total,cars_active,best_score_all,stagnation_epochs,time_s,max_time_s,save_as,load_from
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:06:23,hiyori_brain,students\maps\03_double_dent.csv,load,0,1,100,170532.348786,-12549.027576,-14614.129368,73,100,27,170532.348786,0,20.017,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:06:43,hiyori_brain,students\maps\03_double_dent.csv,load,1,2,100,165026.715792,20228.496897,-13909.573153,58,100,42,170532.348786,1,20.007,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:07:03,hiyori_brain,students\maps\03_double_dent.csv,load,2,3,100,171451.812302,32908.131862,-12722.163039,57,100,43,171451.812302,0,20.023,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:07:23,hiyori_brain,students\maps\03_double_dent.csv,load,3,4,100,175617.878772,33249.462544,-13572.752202,60,100,40,175617.878772,0,20.022,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:07:43,hiyori_brain,students\maps\03_double_dent.csv,load,4,5,100,174691.06565,2338.362507,-15510.377353,50,100,50,175617.878772,1,20.002,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:08:03,hiyori_brain,students\maps\03_double_dent.csv,load,5,6,100,165082.855463,16621.902852,-13437.055028,53,100,47,175617.878772,2,20.034,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:08:23,hiyori_brain,students\maps\03_double_dent.csv,load,6,7,100,196725.443196,13940.120967,-12906.790111,59,100,41,196725.443196,0,20.044,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:08:43,hiyori_brain,students\maps\03_double_dent.csv,load,7,8,100,169369.685454,-2919.658221,-15340.059723,76,100,24,196725.443196,1,20.023,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:09:03,hiyori_brain,students\maps\03_double_dent.csv,load,8,9,100,180519.404561,17918.859261,-12714.727596,48,100,52,196725.443196,2,20.005,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:09:23,hiyori_brain,students\maps\03_double_dent.csv,load,9,10,100,169762.003601,8624.973707,-17538.171777,63,100,37,196725.443196,3,20.057,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:09:44,hiyori_brain,students\maps\03_double_dent.csv,load,10,11,100,184816.110484,19914.376954,-14469.892636,55,100,45,196725.443196,4,20.058,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:10:04,hiyori_brain,students\maps\03_double_dent.csv,load,11,12,100,177135.368157,22245.483441,-13647.140484,57,100,43,196725.443196,5,20.054,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:10:24,hiyori_brain,students\maps\03_double_dent.csv,load,12,13,100,174701.37982,6664.742291,-15648.727171,60,100,40,196725.443196,6,20.035,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:10:44,hiyori_brain,students\maps\03_double_dent.csv,load,13,14,100,187266.174107,33600.48753,-14808.703537,49,100,51,196725.443196,7,20.001,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:11:04,hiyori_brain,students\maps\03_double_dent.csv,load,14,15,100,175004.926297,35670.430769,-11948.340462,53,100,47,196725.443196,8,20.008,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:11:24,hiyori_brain,students\maps\03_double_dent.csv,load,15,16,100,170146.413782,21116.6533,-12895.428448,53,100,47,196725.443196,9,20.059,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:11:44,hiyori_brain,students\maps\03_double_dent.csv,load,16,17,100,195629.471537,29777.488974,-14188.35928,46,100,54,196725.443196,10,20.043,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:12:04,hiyori_brain,students\maps\03_double_dent.csv,load,17,18,100,180045.451732,15522.182138,-15216.402606,56,100,44,196725.443196,11,20.046,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:12:24,hiyori_brain,students\maps\03_double_dent.csv,load,18,19,100,175067.677114,20522.053486,-14340.464163,52,100,48,196725.443196,12,20.057,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:12:44,hiyori_brain,students\maps\03_double_dent.csv,load,19,20,100,177508.237268,26535.736216,-14531.453725,56,100,44,196725.443196,13,20.047,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:13:04,hiyori_brain,students\maps\03_double_dent.csv,load,20,21,100,167999.306903,33844.401093,-10677.480277,57,100,43,196725.443196,14,20.027,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:13:24,hiyori_brain,students\maps\03_double_dent.csv,load,21,22,100,177211.796508,22678.363748,-13994.823598,63,100,37,196725.443196,15,20.017,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:13:44,hiyori_brain,students\maps\03_double_dent.csv,load,22,23,100,163858.090332,614.728424,-15965.778151,52,100,48,196725.443196,16,20.043,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:14:04,hiyori_brain,students\maps\03_double_dent.csv,load,23,24,100,178565.142854,34181.122882,-12129.563199,56,100,44,196725.443196,17,20.009,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:14:24,hiyori_brain,students\maps\03_double_dent.csv,load,24,25,100,191935.932494,29005.653551,-15204.882152,54,100,46,196725.443196,18,20.0,20.0,yoshi9.npz,yoshi8.npz
20260713_070604_002575_hiyori_brain_03_double_dent_yoshi9,2026-07-13T07:14:44,hiyori_brain,students\maps\03_double_dent.csv,load,25,26,100,176374.614559,13315.723712,-16538.310386,69,100,31,196725.443196,19,20.035,20.0,yoshi9.npz,yoshi8.npz
